date,Generator,Pressure_mean,Avg.Wind.Speed_mean,AQI_adj_mean,PM1_mean,PM2.5_Dyson,PM10_mean,Temp_mean,Humidity_mean,AQI_mean,Rain_sum,sinWind,cosWind,elevated_hours,ShipAnthem of the Seas,ShipNorwegian Gem,ShipQueen Mary 2,ShipNorwegian Getaway,ShipQueen Victoria,ShipNorwegian Prima,ShipMS Rotterdam,ShipAmera,ShipNorwegian Sun,ShipViking Octantis,ShipCosta Deliziosa,ShipMSC Meraviglia,ShipNorwegian Breakaway,ShipNorwegian Dawn,ShipNorwegian Epic,ShipOcean Explorer,ShipEnchantment of the Seas,ShipLiberty of the Seas,ShipCelebrity Summit,ShipOasis of the Seas,ShipNorwegian Joy,ShipViking Polaris,ShipMarella Discovery,ShipSeven Seas Navigator,ShipSilver Shadow,ShipViking Saturn,ShipCarnival Venezia,ShipViking Neptune,ShipCaribbean Princess,ShipInsignia,ShipCoral Princess,ShipNorwegian Escape,ShipViking Star,ShipSeabourn Quest,ShipEmerald Princess,ShipJewel of the Seas,ShipVista,ShipSeven Seas Mariner,ShipAurora,ShipMein Schiff 6,ShipExplora I,ShipCrystal Serenity,ShipDisney Dream,ShipPacific World,ShipSilver Endeavour,ShipSpirit of Discovery,ShipThe World,ShipNorwegian Sky,ShipBalmoral,ShipMS Europa 2,ShipMS Europa,ShipArtania,ShipNorwegian Jade,ShipSilver Nova,TerminalCLCP,TerminalMCT,TerminalBCT,LineRoyal Caribbean,LineNorwegian Cruise Line,LineCunard,LineHolland America Line,LinePhoenix Reisen Cruises,LineViking Expedition Cruises,LineCosta Cruises,LineMSC Cruises,LineVantage Travel,LineCelebrity Cruises,LineMarella Cruises,LineRegent Seven Seas,LineSilversea Cruises,LineViking Ocean Cruises,LineCarnival Cruise Line,LinePrincess Cruises,LineOceania Cruises,LineViking Expeditions,LineSeabourn,LineP&O Cruises,LineTUI Cruises,LineExplora Journeys,LineCrystal Cruises,LineDisney Cruise Line,LinePeaceboat,LineSaga Cruises,LineThe World Resident Holdings,LineFred Olsen Cruise Lines,LineHapag-Lloyd Cruises,dayofweek,Ships,PM2.5_corrected
2023-07-11T00:00:00Z,0,29.889375,3.5729166666666665,31.916666666666657,12.44791666666667,15.96875,16.60416666666667,79.84375,54.427083333333336,57.177083333333336,0,0.3903523267802076,0.9206655532696322,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.438537691666667
2023-07-12T00:00:00Z,1,29.928229166666668,3.2916666666666674,46.32291666666667,18,23.458333333333332,24.333333333333332,82.90625,54.17708333333334,74.80208333333334,0,-0.926497009887133,0.376302126847832,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2.8128607083333343
2023-07-13T00:00:00Z,4,29.8634375,7.729166666666669,55.583333333333336,21.822916666666668,29.770833333333332,31.677083333333336,81.29166666666667,70.80208333333333,88.0625,0,0.2816835358861766,0.9595073661054724,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3.186582500000001
2023-07-14T00:00:00Z,2,29.89,5.9375,30.95833333333333,12.020833333333334,15.541666666666666,16.53125,78.5625,79.29166666666667,54.479166666666664,0.97,-0.5027777409100606,0.8644157236222488,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.5284253833333342
2023-07-15T00:00:00Z,1,29.938958333333332,4.583333333333333,36.510416666666664,14.03125,18.53125,19.697916666666668,77.65625,89.10416666666666,63.791666666666664,0.08999999999999998,0.8766603347999443,0.4811098184286511,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.144461216666667
2023-07-16T00:00:00Z,3,29.836041666666667,5.104166666666665,14.6875,5.802083333333333,7.302083333333334,8.46875,75.60416666666667,98.03125,30.291666666666664,1.52,0.18693383059127952,-0.9823725072397287,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.6048787833333324
2023-07-17T00:00:00Z,1,29.922708333333333,4.895833333333335,52.0625,19.927083333333332,30.03125,34.28125,80.67708333333334,78.78125,89.86458333333333,0,-0.9086563913509623,0.4175446831861794,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13.070089483333334
2023-07-18T00:00:00Z,1,29.958125,4.927083333333333,63.05208333333333,23.666666666666664,37.458333333333336,43.989583333333336,76.97916666666667,84.28125,105.97916666666667,0.15000000000000002,0.2816835358861766,0.9595073661054724,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11.055926733333333
2023-07-19T00:00:00Z,0,30.018958333333334,3.34375,78.04166666666666,30.53125,52.03125,62.84375,75.34375,81.1875,139.94791666666669,0.01,-0.036650228234595676,-0.9993281546971206,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7.910704483333333
2023-07-20T00:00:00Z,0,29.976145833333334,5.427083333333335,57.01041666666668,20.8125,34.875,40.65625,79.32291666666666,67.625,101.3125,0,0.34859771792686245,0.9372724422792893,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4.335236983333334
