#MaryWhalen  - #PortSideNY,,,,,,,,,,,
7/11/23 12:00 AM : 1 Year,,,,,,,,,,,
,,PortSide NewYork,PortSide NewYork,PortSide NewYork,MaryWhalenAQI monitor,MaryWhalenAQI monitor,MaryWhalenAQI monitor,MaryWhalenAQI monitor,MaryWhalenAQI monitor,MaryWhalenAQI monitor,
,Barometer,"Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless",AirLink,AirLink,AirLink,AirLink,AirLink,AirLink,
,,,,,,,,,,,
Date & Time,Barometer - in Hg,Avg Wind Speed - mph,Avg Wind Dir,Rain - in,AQI_adj,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °F,Hum - %,AQI
7/11/23 12:00 AM,29.87,4,WNW,0.00,10,4,5,5,75,58,21
7/11/23 12:15 AM,29.87,4,W,0.00,9,4,4,5,74,58,19
7/11/23 12:30 AM,29.87,3,W,0.00,9,4,4,5,74,59,18
7/11/23 12:45 AM,29.87,3,W,0.00,9,4,4,5,74,59,18
7/11/23 1:00 AM,29.87,3,WNW,0.00,12,5,6,6,74,59,24
7/11/23 1:15 AM,29.87,1,W,0.00,16,7,8,8,73,60,34
7/11/23 1:30 AM,29.86,1,SW,0.00,11,4,5,6,73,63,22
7/11/23 1:45 AM,29.86,3,WSW,0.00,10,4,5,6,73,64,22
7/11/23 2:00 AM,29.86,2,W,0.00,11,4,5,6,73,65,22
7/11/23 2:15 AM,29.85,3,WSW,0.00,12,5,6,6,72,66,24
7/11/23 2:30 AM,29.85,3,WSW,0.00,13,5,7,7,72,64,28
7/11/23 2:45 AM,29.86,6,WNW,0.00,15,6,8,8,72,65,32
7/11/23 3:00 AM,29.86,5,W,0.00,18,7,9,9,72,66,38
7/11/23 3:15 AM,29.86,5,WNW,0.00,21,8,10,11,71,60,43
7/11/23 3:30 AM,29.87,4,W,0.00,24,9,12,12,71,62,50
7/11/23 3:45 AM,29.86,3,W,0.00,24,8,12,12,71,62,50
7/11/23 4:00 AM,29.86,1,WSW,0.00,24,9,12,13,71,63,51
7/11/23 4:15 AM,29.86,2,WSW,0.00,26,9,13,13,71,64,53
7/11/23 4:30 AM,29.86,2,SW,0.00,31,11,16,16,70,63,58
7/11/23 4:45 AM,29.87,3,SW,0.00,27,10,13,14,70,67,54
7/11/23 5:00 AM,29.87,3,SW,0.00,26,10,13,14,70,67,53
7/11/23 5:15 AM,29.87,2,WSW,0.00,27,10,14,14,70,68,54
7/11/23 5:30 AM,29.88,2,W,0.00,26,10,13,14,70,68,53
7/11/23 5:45 AM,29.88,2,WSW,0.00,25,9,12,13,69,67,52
7/11/23 6:00 AM,29.89,2,SW,0.00,25,10,13,13,69,67,52
7/11/23 6:15 AM,29.89,2,SW,0.00,28,10,14,15,69,67,55
7/11/23 6:30 AM,29.90,3,SW,0.00,27,10,14,14,69,69,54
7/11/23 6:45 AM,29.90,4,SW,0.00,30,11,15,16,70,69,57
7/11/23 7:00 AM,29.91,3,SW,0.00,30,11,15,16,70,68,57
7/11/23 7:15 AM,29.91,2,WSW,0.00,30,11,15,16,71,65,57
7/11/23 7:30 AM,29.91,2,W,0.00,29,11,15,15,73,61,56
7/11/23 7:45 AM,29.92,2,W,0.00,28,11,14,15,74,59,55
7/11/23 8:00 AM,29.92,2,WSW,0.00,27,10,14,14,75,60,54
7/11/23 8:15 AM,29.92,2,SSW,0.00,28,11,14,14,75,57,55
7/11/23 8:30 AM,29.92,1,SSW,0.00,28,10,14,15,77,55,55
7/11/23 8:45 AM,29.92,2,WSW,0.00,28,11,14,15,79,53,55
7/11/23 9:00 AM,29.92,2,W,0.00,28,11,14,15,80,51,55
7/11/23 9:15 AM,29.91,3,WSW,0.00,26,10,13,14,81,49,53
7/11/23 9:30 AM,29.91,6,W,0.00,22,9,11,12,81,50,46
7/11/23 9:45 AM,29.91,5,W,0.00,23,10,12,12,81,50,49
7/11/23 10:00 AM,29.91,5,W,0.00,23,9,11,12,82,48,48
7/11/23 10:15 AM,29.91,3,SW,0.00,23,10,12,12,82,50,48
7/11/23 10:30 AM,29.91,3,WSW,0.00,24,10,12,12,83,45,50
7/11/23 10:45 AM,29.91,3,SW,0.00,24,10,12,13,84,48,51
7/11/23 11:00 AM,29.89,2,WSW,0.00,25,10,12,13,85,45,52
7/11/23 11:15 AM,29.90,2,WSW,0.00,27,11,13,14,87,44,53
7/11/23 11:30 AM,29.90,2,SSW,0.00,28,12,14,15,87,43,55
7/11/23 11:45 AM,29.90,2,SW,0.00,30,12,15,16,87,43,57
7/11/23 12:00 PM,29.90,2,SSW,0.00,32,13,16,17,87,42,59
7/11/23 12:15 PM,29.90,3,SSW,0.00,34,14,17,18,87,42,62
7/11/23 12:30 PM,29.90,3,SW,0.00,35,14,18,18,87,47,62
7/11/23 12:45 PM,29.89,3,SSW,0.00,37,15,19,20,86,43,65
7/11/23 1:00 PM,29.89,3,SSW,0.00,37,15,18,19,87,41,64
7/11/23 1:15 PM,29.90,3,S,0.00,36,14,18,19,88,40,63
7/11/23 1:30 PM,29.89,3,SSE,0.00,36,14,18,19,88,38,64
7/11/23 1:45 PM,29.89,4,S,0.00,40,16,20,20,88,41,68
7/11/23 2:00 PM,29.89,3,S,0.00,41,16,20,21,88,39,69
7/11/23 2:15 PM,29.89,5,S,0.00,41,16,20,21,88,41,69
7/11/23 2:30 PM,29.89,5,S,0.00,42,17,21,22,87,43,70
7/11/23 2:45 PM,29.88,6,SSE,0.00,42,16,21,22,87,40,70
7/11/23 3:00 PM,29.88,6,SSE,0.00,42,16,21,21,87,41,69
7/11/23 3:15 PM,29.88,6,S,0.00,44,17,22,23,87,41,72
7/11/23 3:30 PM,29.88,5,S,0.00,44,17,22,22,87,44,71
7/11/23 3:45 PM,29.88,6,SSE,0.00,44,17,22,23,87,41,72
7/11/23 4:00 PM,29.88,6,SSE,0.00,43,17,21,22,88,42,70
7/11/23 4:15 PM,29.88,7,S,0.00,44,17,22,22,88,44,72
7/11/23 4:30 PM,29.87,7,SSE,0.00,43,17,22,22,87,45,71
7/11/23 4:45 PM,29.87,8,SE,0.00,42,16,21,22,88,44,70
7/11/23 5:00 PM,29.87,8,SE,0.00,42,16,21,21,87,45,69
7/11/23 5:15 PM,29.87,9,SE,0.00,42,16,21,22,86,46,70
7/11/23 5:30 PM,29.87,9,SE,0.00,42,16,21,22,86,46,70
7/11/23 5:45 PM,29.88,8,SE,0.00,41,16,21,22,86,47,69
7/11/23 6:00 PM,29.87,7,SSE,0.00,41,16,20,21,86,48,68
7/11/23 6:15 PM,29.88,5,SSE,0.00,40,16,20,21,86,48,68
7/11/23 6:30 PM,29.88,6,SSE,0.00,42,16,21,22,86,47,69
7/11/23 6:45 PM,29.88,5,SSE,0.00,40,16,20,21,86,47,68
7/11/23 7:00 PM,29.88,4,S,0.00,40,16,20,21,86,50,68
7/11/23 7:15 PM,29.89,3,SSW,0.00,42,16,21,22,86,52,70
7/11/23 7:30 PM,29.89,5,WSW,0.00,44,17,22,23,85,54,72
7/11/23 7:45 PM,29.89,4,W,0.00,41,16,21,22,85,55,69
7/11/23 8:00 PM,29.89,5,W,0.00,41,16,21,22,84,59,69
7/11/23 8:15 PM,29.90,5,W,0.00,42,16,21,21,81,60,69
7/11/23 8:30 PM,29.90,5,W,0.00,43,17,22,22,81,59,71
7/11/23 8:45 PM,29.90,3,WSW,0.00,41,16,20,21,81,63,69
7/11/23 9:00 PM,29.90,3,SW,0.00,40,16,20,21,81,54,67
7/11/23 9:15 PM,29.90,3,SW,0.00,40,16,20,20,81,58,67
7/11/23 9:30 PM,29.91,2,WSW,0.00,39,16,20,20,81,64,67
7/11/23 9:45 PM,29.91,1,WSW,0.00,41,16,21,21,81,63,69
7/11/23 10:00 PM,29.91,1,SW,0.00,42,17,21,22,80,65,70
7/11/23 10:15 PM,29.91,2,SSW,0.00,44,18,22,23,80,65,72
7/11/23 10:30 PM,29.92,2,S,0.00,44,17,22,23,80,61,72
7/11/23 10:45 PM,29.92,2,S,0.00,45,17,22,23,80,58,73
7/11/23 11:00 PM,29.92,2,S,0.00,46,18,23,23,80,58,73
7/11/23 11:15 PM,29.92,1,S,0.00,47,18,24,24,80,58,75
7/11/23 11:30 PM,29.92,2,SSW,0.00,47,18,23,24,80,61,75
7/11/23 11:45 PM,29.92,2,S,0.00,49,19,25,25,80,62,77
7/12/23 12:00 AM,29.92,2,SSE,0.00,51,19,26,26,79,61,79
7/12/23 12:15 AM,29.92,2,S,0.00,49,19,24,25,79,63,77
7/12/23 12:30 AM,29.92,2,SSE,0.00,50,19,25,26,79,63,78
7/12/23 12:45 AM,29.92,2,SSE,0.00,51,19,26,27,78,64,79
7/12/23 1:00 AM,29.92,2,SSE,0.00,51,19,25,26,78,65,79
7/12/23 1:15 AM,29.91,2,SSE,0.00,50,19,25,26,78,64,78
7/12/23 1:30 AM,29.91,2,SSE,0.00,50,19,25,26,78,65,78
7/12/23 1:45 AM,29.91,3,SSE,0.00,51,19,25,26,77,65,78
7/12/23 2:00 AM,29.91,2,SSE,0.00,51,19,26,27,77,65,79
7/12/23 2:15 AM,29.91,3,SSW,0.00,47,18,23,24,76,68,75
7/12/23 2:30 AM,29.91,3,SSW,0.00,45,18,23,24,76,65,73
7/12/23 2:45 AM,29.91,4,SW,0.00,47,18,24,24,76,66,75
7/12/23 3:00 AM,29.92,3,SSW,0.00,48,18,24,25,76,70,76
7/12/23 3:15 AM,29.92,2,SSW,0.00,49,19,25,25,76,69,77
7/12/23 3:30 AM,29.92,2,SW,0.00,53,20,27,28,75,68,82
7/12/23 3:45 AM,29.92,2,S,0.00,51,19,25,26,75,68,79
7/12/23 4:00 AM,29.92,1,S,0.00,48,18,24,25,75,69,76
7/12/23 4:15 AM,29.92,1,SW,0.00,48,18,24,25,75,69,76
7/12/23 4:30 AM,29.92,2,SW,0.00,53,20,27,28,75,71,82
7/12/23 4:45 AM,29.93,1,SW,0.00,51,19,25,26,75,70,78
7/12/23 5:00 AM,29.93,1,SSW,0.00,49,19,25,26,75,70,77
7/12/23 5:15 AM,29.93,1,SSW,0.00,51,19,25,26,74,70,78
7/12/23 5:30 AM,29.93,2,S,0.00,52,19,26,27,74,70,80
7/12/23 5:45 AM,29.93,1,S,0.00,52,19,26,27,74,70,80
7/12/23 6:00 AM,29.93,2,SSW,0.00,53,20,27,28,74,73,82
7/12/23 6:15 AM,29.93,3,SW,0.00,53,20,27,28,73,72,83
7/12/23 6:30 AM,29.94,3,SW,0.00,54,20,28,29,73,72,84
7/12/23 6:45 AM,29.94,2,SSW,0.00,54,20,28,29,74,71,84
7/12/23 7:00 AM,29.95,3,SSW,0.00,55,21,29,30,75,70,86
7/12/23 7:15 AM,29.95,3,SW,0.00,55,21,29,31,75,70,87
7/12/23 7:30 AM,29.95,2,SW,0.00,55,21,29,31,76,67,87
7/12/23 7:45 AM,29.96,2,WSW,0.00,55,21,29,31,78,65,87
7/12/23 8:00 AM,29.96,2,SW,0.00,56,22,31,33,78,65,90
