"#MaryWhalen  - #PortSideNY"
"7/11/23 12:00 AM : 1 Year"
"","","PortSide NewYork","PortSide NewYork","PortSide NewYork","PortSide NewYork","PortSide NewYork","MaryWhalenAQI monitor","MaryWhalenAQI monitor","MaryWhalenAQI monitor","MaryWhalenAQI monitor","MaryWhalenAQI monitor"
"","Barometer","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","Vantage Vue, Wireless","AirLink","AirLink","AirLink","AirLink","AirLink"
"","","","","","","","","","","",""
"Date & Time","Barometer - in Hg","Temp - °F","Hum - %","Avg Wind Speed - mph","Avg Wind Dir","Rain - in","AQI","PM 1 - ug/m³","PM 2.5 - ug/m³","PM 10 - ug/m³","Temp - °F"
"7/11/23 12:00 AM","29.87","77","55","4","WNW","0.00","21","4","5","5","75"
"7/11/23 12:15 AM","29.87","76","55","4","W","0.00","19","4","4","5","74"
"7/11/23 12:30 AM","29.87","76","56","3","W","0.00","18","4","4","5","74"
"7/11/23 12:45 AM","29.87","75","56","3","W","0.00","18","4","4","5","74"
"7/11/23 1:00 AM","29.87","75","56","3","WNW","0.00","24","5","6","6","74"
"7/11/23 1:15 AM","29.87","75","56","1","W","0.00","34","7","8","8","73"
"7/11/23 1:30 AM","29.86","75","59","1","SW","0.00","22","4","5","6","73"
"7/11/23 1:45 AM","29.86","75","60","3","WSW","0.00","22","4","5","6","73"
"7/11/23 2:00 AM","29.86","74","62","2","W","0.00","22","4","5","6","73"
"7/11/23 2:15 AM","29.85","74","61","3","WSW","0.00","24","5","6","6","72"
"7/11/23 2:30 AM","29.85","74","59","3","WSW","0.00","28","5","7","7","72"
"7/11/23 2:45 AM","29.86","74","60","6","WNW","0.00","32","6","8","8","72"
"7/11/23 3:00 AM","29.86","73","61","5","W","0.00","38","7","9","9","72"
"7/11/23 3:15 AM","29.86","73","56","5","WNW","0.00","43","8","10","11","71"
"7/11/23 3:30 AM","29.87","73","58","4","W","0.00","50","9","12","12","71"
"7/11/23 3:45 AM","29.86","73","58","3","W","0.00","50","8","12","12","71"
"7/11/23 4:00 AM","29.86","73","60","1","WSW","0.00","51","9","12","13","71"
"7/11/23 4:15 AM","29.86","72","61","2","WSW","0.00","53","9","13","13","71"
"7/11/23 4:30 AM","29.86","72","59","2","SW","0.00","58","11","16","16","70"
"7/11/23 4:45 AM","29.87","72","62","3","SW","0.00","54","10","13","14","70"
"7/11/23 5:00 AM","29.87","72","63","3","SW","0.00","53","10","13","14","70"
"7/11/23 5:15 AM","29.87","71","64","2","WSW","0.00","54","10","14","14","70"
"7/11/23 5:30 AM","29.88","71","64","2","W","0.00","53","10","13","14","70"
"7/11/23 5:45 AM","29.88","71","64","2","WSW","0.00","52","9","12","13","69"
"7/11/23 6:00 AM","29.89","71","63","2","SW","0.00","52","10","13","13","69"
"7/11/23 6:15 AM","29.89","71","62","2","SW","0.00","55","10","14","15","69"
"7/11/23 6:30 AM","29.90","71","64","3","SW","0.00","54","10","14","14","69"
"7/11/23 6:45 AM","29.90","71","65","4","SW","0.00","57","11","15","16","70"
"7/11/23 7:00 AM","29.91","71","64","3","SW","0.00","57","11","15","16","70"
"7/11/23 7:15 AM","29.91","72","64","2","WSW","0.00","57","11","15","16","71"
"7/11/23 7:30 AM","29.91","72","64","2","W","0.00","56","11","15","15","73"
"7/11/23 7:45 AM","29.92","73","62","2","W","0.00","55","11","14","15","74"
"7/11/23 8:00 AM","29.92","74","61","2","WSW","0.00","54","10","14","14","75"
"7/11/23 8:15 AM","29.92","74","59","2","SSW","0.00","55","11","14","14","75"
"7/11/23 8:30 AM","29.92","75","58","1","SSW","0.00","55","10","14","15","77"
"7/11/23 8:45 AM","29.92","76","57","2","WSW","0.00","55","11","14","15","79"
"7/11/23 9:00 AM","29.92","76","58","2","W","0.00","55","11","14","15","80"
"7/11/23 9:15 AM","29.91","78","54","3","WSW","0.00","53","10","13","14","81"
"7/11/23 9:30 AM","29.91","78","54","6","W","0.00","46","9","11","12","81"
"7/11/23 9:45 AM","29.91","78","54","5","W","0.00","49","10","12","12","81"
"7/11/23 10:00 AM","29.91","79","52","5","W","0.00","48","9","11","12","82"
"7/11/23 10:15 AM","29.91","79","53","3","SW","0.00","48","10","12","12","82"
"7/11/23 10:30 AM","29.91","80","51","3","WSW","0.00","50","10","12","12","83"
"7/11/23 10:45 AM","29.91","81","49","3","SW","0.00","51","10","12","13","84"
"7/11/23 11:00 AM","29.89","82","50","2","WSW","0.00","52","10","12","13","85"
"7/11/23 11:15 AM","29.90","82","50","2","WSW","0.00","53","11","13","14","87"
"7/11/23 11:30 AM","29.90","82","48","2","SSW","0.00","55","12","14","15","87"
"7/11/23 11:45 AM","29.90","84","47","2","SW","0.00","57","12","15","16","87"
"7/11/23 12:00 PM","29.90","84","46","2","SSW","0.00","59","13","16","17","87"
"7/11/23 12:15 PM","29.90","85","45","3","SSW","0.00","62","14","17","18","87"
"7/11/23 12:30 PM","29.90","85","48","3","SW","0.00","62","14","18","18","87"
"7/11/23 12:45 PM","29.89","85","44","3","SSW","0.00","65","15","19","20","86"
"7/11/23 1:00 PM","29.89","86","42","3","SSW","0.00","64","15","18","19","87"
"7/11/23 1:15 PM","29.90","86","42","3","S","0.00","63","14","18","19","88"
"7/11/23 1:30 PM","29.89","86","40","3","SSE","0.00","64","14","18","19","88"
