DAY,DATE,SHIP,LINE,ARRIVAL TIME,DEPARTURE TIME,TERMINAL,DESTINATION & NOTES
Monday,1/2/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Monday,1/2/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,"Bermuda/Bahamas/Port Canaveral, FL"
Tuesday,1/3/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,Transatlantic (World Cruise)
Sunday,1/8/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,Eastern Caribbean
Wednesday,1/11/2023,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Friday,1/13/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Monday,1/16/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,"Bermuda/Bahamas/Port Canaveral, FL"
Thursday,1/19/2023,Queen Victoria,Cunard,AM,---,MCT,In port overnight
Friday,1/20/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,Eastern Caribbean
Friday,1/20/2023,Queen Victoria,Cunard,---,5:00 PM,MCT,San Francisco via Eastern Caribbean/Panama Canal/Mexico (World Cruise)
Tuesday,1/24/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Wednesday,1/25/2023,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Panama City, Panama via Southern Caribbean"
Wednesday,2/1/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Saturday,2/4/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Miami, FL/Bahamas"
Monday,2/6/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 AM,MCT,Eastern Caribbean
Sunday,2/12/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,2/17/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Saturday,2/18/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,2/19/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/26/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/26/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,Eastern Caribbean
Monday,2/27/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,3/5/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,3/10/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,3/10/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,3/12/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Saturday,3/18/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas"
Sunday,3/19/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Tuesday,3/21/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,3/26/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
