name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Red Hook Brookyn,2023-08-01,80.9,69.2,75.2,80.1,69.2,75.1,52.9,47.5,0,0,0,,0,0,20.8,11.1,12.6,1019.6,37.1,9.9,296.8,25.6,10,10,2023-08-01T05:52:39,2023-08-01T20:11:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-02,80.9,68.7,73.7,79.9,68.7,73.7,52.3,48.1,0.018,100,8.33,rain,0,0,53,9.8,55.4,1022.7,17.6,9.9,341.6,29.5,10,10,2023-08-02T05:53:36,2023-08-02T20:10:33,0.53,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-03,79.1,67.8,72.8,79.1,67.8,72.8,58.1,60.3,0.009,100,4.17,rain,0,0,39.1,15.9,206.7,1019.7,32.2,9.8,237.7,20.6,8,10,2023-08-03T05:54:33,2023-08-03T20:09:25,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-04,75.9,71.1,73.2,75.9,71.1,73.2,64.2,73.8,0.009,100,4.17,rain,0,0,48.3,12.4,226.6,1014.9,97.1,9.9,118.6,10.3,4,30,2023-08-04T05:55:30,2023-08-04T20:08:17,0.6,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-05,84.9,71.1,77.8,85.4,71.1,77.9,62.7,62.2,0,0,0,,0,0,11.4,10,294.9,1014.6,39.6,9.7,237,20.5,10,30,2023-08-05T05:56:28,2023-08-05T20:07:07,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-06,84.1,72.9,78.1,84.9,72.9,78.2,60.7,55.8,0,0,0,,0,0,42.5,9.3,144.7,1016.1,6.2,9.9,307.7,26.5,10,10,2023-08-06T05:57:26,2023-08-06T20:05:56,0.67,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-07,80.9,68.1,75,84.5,68.1,75.4,69.3,83,0.092,100,37.5,rain,0,0,24.2,14.5,194.6,1011.8,91.1,8.8,166.3,14.4,10,30,2023-08-07T05:58:24,2023-08-07T20:04:43,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-08,80,71,74.8,81.4,71,74.8,65,72.7,0.001,100,4.17,rain,0,0,42,19.9,255.9,1004.7,87.3,9.9,207.7,17.8,10,10,2023-08-08T05:59:22,2023-08-08T20:03:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-09,88,70.1,78.2,86.8,70.1,78,58.9,52.9,0.009,100,4.17,rain,0,0,42.5,12.4,275.5,1007,23.2,9.9,288.7,25,9,10,2023-08-09T06:00:21,2023-08-09T20:02:14,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
Red Hook Brookyn,2023-08-10,81,70.2,74,83.7,70.2,74.1,65.8,76.5,0.083,100,37.5,rain,0,0,53.9,9.1,224.1,1006,56.7,9.1,107.3,9.2,8,30,2023-08-10T06:01:19,2023-08-10T20:00:58,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KEWR,72502014734,KJRB,F8726,KNYC"
