time_stamp,humidity,temperature,pressure,pm2.5_alt,local_datetime,Date,Ship,Line,Type,Guest,Crew,Shore Power Compatibility,Connection,CruiseArrival,pm25,o3,no2,co,PM2.5_corrected
2023-08-02T04:00:00Z,30,80.633,1021.891,2.4,2023-08-02T00:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.4216
2023-08-02T05:00:00Z,29.4,79.767,1021.876,2.1,2023-08-02T01:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.31612
2023-08-02T06:00:00Z,31.209,79,1021.803,2.1,2023-08-02T02:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.1601842
2023-08-02T07:00:00Z,38.566,76.934,1021.801,2.7,2023-08-02T03:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.8404108
2023-08-02T08:00:00Z,34.3,76.6,1022.015,1.9,2023-08-02T04:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.78894
2023-08-02T09:00:00Z,35.267,75.933,1022.426,1.7,2023-08-02T05:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.6007846
2023-08-02T10:00:00Z,36.534,75.733,1023.001,1.8,2023-08-02T06:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.5439692000000003
2023-08-02T11:00:00Z,35.033,76.6,1023.551,1.8,2023-08-02T07:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.6733554
2023-08-02T12:00:00Z,31.5,78.467,1023.841,1.9,2023-08-02T08:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.0303
2023-08-02T13:00:00Z,28.367,81.167,1023.586,2,2023-08-02T09:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.3527646
2023-08-02T14:00:00Z,26.133,85.1,1023.291,2.3,2023-08-02T10:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.7025354
2023-08-02T15:00:00Z,24.466,87.567,1023.332,2,2023-08-02T11:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.689030799999999
2023-08-02T16:00:00Z,19.9,93.667,1023.092,2.2,2023-08-02T12:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.18742
2023-08-02T17:00:00Z,18.3,97.267,1022.838,2.4,2023-08-02T13:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.43014
2023-08-02T18:00:00Z,17.6,98.8,1022.372,2.7,2023-08-02T14:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.64768
2023-08-02T19:00:00Z,18.267,98.9,1021.86,2.8,2023-08-02T15:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.6425846
2023-08-02T20:00:00Z,22.4,94,1021.608,2.9,2023-08-02T16:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.33872
2023-08-02T21:00:00Z,25.367,90.433,1021.241,2.8,2023-08-02T17:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.0305646
2023-08-02T22:00:00Z,30.267,86.467,1021.428,2.4,2023-08-02T18:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.3985845999999995
2023-08-02T23:00:00Z,33.666,82.367,1021.659,2.2,2023-08-02T19:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.000790800000001
2023-08-03T00:00:00Z,39.834,78.267,1021.791,2.2,2023-08-02T20:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.4691091999999997
2023-08-03T01:00:00Z,41.267,78.2,1022.207,2.3,2023-08-02T21:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.3979846
2023-08-03T02:00:00Z,42.834,77.667,1022.236,2.1,2023-08-02T22:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.1581091999999997
2023-08-03T03:00:00Z,43.867,76.834,1022.362,2.2,2023-08-02T23:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.1214646000000004
2023-08-03T04:00:00Z,45.367,76.4,1022.373,2.2,2023-08-03T00:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.9921646
2023-08-03T05:00:00Z,46.533,76.133,1022.128,2.2,2023-08-03T01:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.8916554000000003
2023-08-03T06:00:00Z,46.667,75.667,1021.606,2.2,2023-08-03T02:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.8801046
2023-08-03T07:00:00Z,45.633,75.434,1021.058,2.2,2023-08-03T03:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.9692354
2023-08-03T08:00:00Z,44.967,75.733,1020.847,2.2,2023-08-03T04:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.0266446
2023-08-03T09:00:00Z,48.034,74.867,1021.005,2.4,2023-08-03T05:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.8670692000000004
