time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-08-12T23:00:00Z,51.1,87.967,1010.47,11.5,12.8375,19.1575,2023-08-12T19:00:00Z,2023-08-12
2023-08-12T08:00:00Z,41.133,82.1,1012.354,8.6,8.448,13.9245,2023-08-12T04:00:00Z,2023-08-12
2023-08-12T05:00:00Z,48.367,83.233,1011.945,18.4,18.764,31.801,2023-08-12T01:00:00Z,2023-08-12
2023-08-12T14:00:00Z,38.033,92.066,1012.608,16.7,16.668,27.4485,2023-08-12T10:00:00Z,2023-08-12
2023-08-12T15:00:00Z,48.033,88.667,1012.603,19.5,19.114,32.447,2023-08-12T11:00:00Z,2023-08-12
2023-08-12T06:00:00Z,47.767,83.034,1012.246,16.4,16.6395,28.001,2023-08-12T02:00:00Z,2023-08-12
2023-08-12T16:00:00Z,41.9,95.467,1012.098,20.4,19.422,32.2085,2023-08-12T12:00:00Z,2023-08-12
2023-08-12T09:00:00Z,42.9,81.267,1012.591,8.1,8.0245,13.1295,2023-08-12T05:00:00Z,2023-08-12
2023-08-12T07:00:00Z,44.034,82.633,1012.394,11.9,11.8495,19.7415,2023-08-12T03:00:00Z,2023-08-12
2023-08-12T01:00:00Z,40.566,87.2,1010.718,16.7,17.429,28.6535,2023-08-11T21:00:00Z,2023-08-11
2023-08-12T17:00:00Z,39.666,97.466,1011.489,18.9,18.7805,29.416,2023-08-12T13:00:00Z,2023-08-12
2023-08-12T12:00:00Z,47.1,84.967,1012.875,13.9,13.7255,23.177,2023-08-12T08:00:00Z,2023-08-12
2023-08-12T10:00:00Z,44.7,80.966,1012.643,8.1,8.119,13.2695,2023-08-12T06:00:00Z,2023-08-12
2023-08-12T19:00:00Z,45.633,91.267,1010.727,16.2,16.8385,26.64,2023-08-12T15:00:00Z,2023-08-12
2023-08-12T11:00:00Z,46.767,82.2,1013.033,10.7,10.6055,17.643,2023-08-12T07:00:00Z,2023-08-12
2023-08-12T20:00:00Z,39.9,95.4,1010.324,13.3,13.8535,21.416,2023-08-12T16:00:00Z,2023-08-12
2023-08-12T13:00:00Z,41.234,90.133,1012.586,16,15.772,26.588,2023-08-12T09:00:00Z,2023-08-12
2023-08-12T02:00:00Z,40.767,86.6,1011.292,16.6,17.3615,28.4415,2023-08-11T22:00:00Z,2023-08-11
2023-08-12T00:00:00Z,37.733,88.3,1009.913,14.3,14.6085,23.893,2023-08-11T20:00:00Z,2023-08-11
2023-08-12T03:00:00Z,42.2,85.733,1011.526,16.3,17.045,27.804,2023-08-11T23:00:00Z,2023-08-11
2023-08-12T18:00:00Z,40.392,97.117,1011.164,18.7,18.5735,29.061,2023-08-12T14:00:00Z,2023-08-12
2023-08-12T22:00:00Z,47.433,89.934,1010.253,12.6,13.7545,20.887,2023-08-12T18:00:00Z,2023-08-12
2023-08-12T04:00:00Z,43.834,84.633,1011.684,17.5,17.8615,30.0085,2023-08-12T00:00:00Z,2023-08-12
2023-08-12T21:00:00Z,47.7,89.466,1010.311,12.6,13.5485,21.0475,2023-08-12T17:00:00Z,2023-08-12
2023-08-10T12:00:00Z,45.267,86.333,1006.838,15.1,16.046,25.494,2023-08-10T08:00:00Z,2023-08-10
2023-08-10T10:00:00Z,48.3,82.6,1007.132,15.8,16.03,26.7495,2023-08-10T06:00:00Z,2023-08-10
2023-08-10T04:00:00Z,42.633,83.667,1008.843,11.6,12.7415,19.4575,2023-08-10T00:00:00Z,2023-08-10
2023-08-10T22:00:00Z,64.034,80.933,1002.621,15,15.5155,25.026,2023-08-10T18:00:00Z,2023-08-10
2023-08-10T23:00:00Z,65.367,80.467,1002.639,20.8,20.103,32.618,2023-08-10T19:00:00Z,2023-08-10
2023-08-10T09:00:00Z,46.733,82.6,1007.333,15.3,15.1385,25.3685,2023-08-10T05:00:00Z,2023-08-10
2023-08-10T05:00:00Z,46.466,82.5,1008.724,13.7,14.4445,23.2305,2023-08-10T01:00:00Z,2023-08-10
2023-08-10T21:00:00Z,67.233,79.166,1002.847,15.5,15.8345,26.451,2023-08-10T17:00:00Z,2023-08-10
2023-08-10T15:00:00Z,41.767,93.5,1006.332,17.9,19.3895,29.455,2023-08-10T11:00:00Z,2023-08-10
2023-08-10T02:00:00Z,40.233,83.667,1009.063,10.6,10.9845,17.4595,2023-08-09T22:00:00Z,2023-08-09
2023-08-10T08:00:00Z,47.166,82.367,1007.612,11.5,11.7295,18.952,2023-08-10T04:00:00Z,2023-08-10
2023-08-10T20:00:00Z,65.5,81.066,1003.567,21.1,20.659,35.983,2023-08-10T16:00:00Z,2023-08-10
2023-08-10T01:00:00Z,38.3,84.7,1008.471,9.9,10.3235,16.119,2023-08-09T21:00:00Z,2023-08-09
2023-08-10T03:00:00Z,41.466,83.6,1009.122,10.5,11.003,17.229,2023-08-09T23:00:00Z,2023-08-09
