time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date,Ship,Line,Type,Guest,Crew,Shore Power Compatibility,Connection,CruiseArrival,nyc_avg_pm2.5,o3,no2,co
2023-08-02T04:00:00Z,93.533,63.067,973.562,2,1.8735,2.9735,2023-08-02T00:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T05:00:00Z,97.8,61.267,973.51,1.9,1.805,3.0175,2023-08-02T01:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T06:00:00Z,97.367,60.633,973.298,1.9,1.63,2.801,2023-08-02T02:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T07:00:00Z,99.767,59.067,973.153,1.7,1.462,2.569,2023-08-02T03:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T08:00:00Z,99.633,59,973.458,1.7,1.404,2.415,2023-08-02T04:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T09:00:00Z,99.6,58.566,973.941,1.7,1.445,2.417,2023-08-02T05:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T10:00:00Z,99.8,58.133,974.37,1.7,1.438,2.453,2023-08-02T06:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T11:00:00Z,99.834,60.667,974.636,1.7,1.3945,2.4125,2023-08-02T07:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T12:00:00Z,86.767,64.333,974.598,1.5,1.317,2.1765,2023-08-02T08:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T13:00:00Z,60.7,71.733,974.295,1.6,1.276,2.038,2023-08-02T09:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T14:00:00Z,39.2,82.666,974.096,1.6,1.21,1.982,2023-08-02T10:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T15:00:00Z,32.4,84.867,973.895,1.8,1.5175,2.298,2023-08-02T11:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T16:00:00Z,30.633,85.5,973.698,2,1.7335,2.646,2023-08-02T12:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T17:00:00Z,28.534,86.433,973.335,2,1.8565,2.812,2023-08-02T13:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T18:00:00Z,28.8,86.434,972.864,2.1,1.9565,2.9885,2023-08-02T14:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T19:00:00Z,30.9,84.267,972.502,2.2,2.062,3.06,2023-08-02T15:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T20:00:00Z,33.133,82.066,971.895,2.1,1.895,2.8875,2023-08-02T16:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T21:00:00Z,34.334,80.834,971.603,2.2,2.0985,3.1575,2023-08-02T17:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T22:00:00Z,40.033,80.3,971.273,2.3,2.1705,3.3025,2023-08-02T18:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-02T23:00:00Z,56.267,75.4,971.426,2.4,2.3245,3.645,2023-08-02T19:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-03T00:00:00Z,67.133,71.3,971.432,2.3,2.3545,3.5985,2023-08-02T20:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-03T01:00:00Z,76.267,68.1,971.572,2.4,2.502,3.898,2023-08-02T21:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
2023-08-03T02:00:00Z,87.233,66.367,971.818,2.5,2.589,4.029,2023-08-02T22:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2
