time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-08-13T00:00:00Z,67.966,81.5,983.856,66.9,47.402,92.2065,2023-08-12T20:00:00Z,2023-08-12
2023-08-13T23:00:00Z,54.733,83.233,986.168,3.4,3.6735,5.343,2023-08-13T19:00:00Z,2023-08-13
2023-08-13T08:00:00Z,72.9,75,982.512,4.4,4.0715,7.312,2023-08-13T04:00:00Z,2023-08-13
2023-08-13T19:00:00Z,40.666,88.367,984.879,2.7,2.812,4.02,2023-08-13T15:00:00Z,2023-08-13
2023-08-13T01:00:00Z,68.066,80.5,984,22.1,20.8285,36.8645,2023-08-12T21:00:00Z,2023-08-12
2023-08-13T11:00:00Z,73.434,74.5,984.122,3.1,2.708,4.8955,2023-08-13T07:00:00Z,2023-08-13
2023-08-13T12:00:00Z,75.534,75.867,984.228,2.9,2.452,4.54,2023-08-13T08:00:00Z,2023-08-13
2023-08-13T02:00:00Z,69.5,78,984.595,9.4,9.349,16.8045,2023-08-12T22:00:00Z,2023-08-12
2023-08-13T15:00:00Z,54.4,87.067,984.681,5.4,5.678,8.9735,2023-08-13T11:00:00Z,2023-08-13
2023-08-13T07:00:00Z,73.8,75.534,982.65,5.6,5.4455,9.586,2023-08-13T03:00:00Z,2023-08-13
2023-08-13T22:00:00Z,47,86.367,985.591,3.2,3.4615,5.0345,2023-08-13T18:00:00Z,2023-08-13
2023-08-13T05:00:00Z,72.5,76,984.262,5.8,5.7495,10.032,2023-08-13T01:00:00Z,2023-08-13
2023-08-13T18:00:00Z,41.133,89.834,985.058,3,3.1665,4.5395,2023-08-13T14:00:00Z,2023-08-13
2023-08-13T13:00:00Z,72.2,78.667,984.356,3.9,3.7365,6.4955,2023-08-13T09:00:00Z,2023-08-13
2023-08-13T20:00:00Z,42.1,87.967,985.084,2.9,3.0285,4.397,2023-08-13T16:00:00Z,2023-08-13
2023-08-13T14:00:00Z,60.7,84.933,984.588,4.3,4.359,6.9525,2023-08-13T10:00:00Z,2023-08-13
2023-08-13T06:00:00Z,73.567,75.834,983.427,6,5.912,10.2925,2023-08-13T02:00:00Z,2023-08-13
2023-08-13T21:00:00Z,44.166,87.7,985.409,3.2,3.4905,4.9755,2023-08-13T17:00:00Z,2023-08-13
