time_stamp,humidity,temperature,pressure,pm2.5_alt,local_datetime,Date,Ship,Line,Type,Guest,Crew,Shore Power Compatibility,Connection,CruiseArrival,pm25,o3,no2,co,PM2.5_corrected
2023-08-02T04:00:00Z,27.334,81.067,1022.274,2.6,2023-08-02T00:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.756209200000001
2023-08-02T05:00:00Z,32.233,79.8,1022.33,2.5,2023-08-02T01:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.2815154
2023-08-02T06:00:00Z,36.667,78.333,1022.338,2.8,2023-08-02T02:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.0565046
2023-08-02T07:00:00Z,38.867,77.733,1022.261,3,2023-08-02T03:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.9716646000000004
2023-08-02T08:00:00Z,34.166,77.834,1022.446,2.2,2023-08-02T04:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.9576908000000004
2023-08-02T09:00:00Z,35.633,77.4,1022.857,2.4,2023-08-02T05:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.9360353999999997
2023-08-02T10:00:00Z,39.2,77.334,1023.493,2.8,2023-08-02T06:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.83816
2023-08-02T11:00:00Z,28.233,87.7,1024.035,2.6,2023-08-02T07:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.6787154
2023-08-02T12:00:00Z,24.167,91.733,1024.311,2.6,2023-08-02T08:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.0292046
2023-08-02T13:00:00Z,21.367,91.733,1024.041,2.4,2023-08-02T09:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.1657646
2023-08-02T14:00:00Z,21.122,88.466,1023.789,2.5,2023-08-02T10:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.2392836
2023-08-02T15:00:00Z,23.091,83.883,1023.794,2.2,2023-08-02T11:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.9123558
2023-08-02T16:00:00Z,21.617,85.166,1023.611,2.3,2023-08-02T12:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.0918146
2023-08-02T17:00:00Z,20.534,86.867,1023.316,2.5,2023-08-02T13:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.2899692
2023-08-02T18:00:00Z,20.875,86.617,1022.901,3.1,2023-08-02T14:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.574975
2023-08-02T19:00:00Z,21.1,86.9,1022.454,3.4,2023-08-02T15:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.71278
2023-08-02T20:00:00Z,21.166,87.367,1022.188,3,2023-08-02T16:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.4974908
2023-08-02T21:00:00Z,21.767,86.817,1021.649,3,2023-08-02T17:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.4456846
2023-08-02T22:00:00Z,26.2,89.534,1021.633,3.3,2023-08-02T18:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.22076
2023-08-02T23:00:00Z,30.166,87.9,1021.762,3.2,2023-08-02T19:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.8264908
2023-08-03T00:00:00Z,29.334,85.9,1021.962,3.4,2023-08-02T20:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.0030092
2023-08-03T01:00:00Z,31.366,84.558,1022.303,2.7,2023-08-02T21:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.461050800000001
2023-08-03T02:00:00Z,32.534,83.166,1022.418,2.1,2023-08-02T22:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.0459692
2023-08-03T03:00:00Z,33.966,83.108,1022.548,2.2,2023-08-02T23:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.9749308
2023-08-03T04:00:00Z,34.575,82.842,1022.581,2.3,2023-08-03T00:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.9748349999999997
2023-08-03T05:00:00Z,35.3,82.8,1022.353,2.2,2023-08-03T01:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.8599400000000004
2023-08-03T06:00:00Z,36.434,81.8,1021.827,2.2,2023-08-03T02:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.7621892000000003
2023-08-03T07:00:00Z,37.334,80.4,1021.245,2.6,2023-08-03T03:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.8942091999999997
2023-08-03T08:00:00Z,37.666,80.367,1021.036,2.7,2023-08-03T04:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.9179908000000006
