time_stamp,humidity,temperature,pressure,pm2.5_alt,local_datetime,Date,Ship,Line,Type,Guest,Crew,Shore Power Compatibility,Connection,CruiseArrival,pm25,o3,no2,co,PM2.5_corrected
2023-08-02T04:00:00Z,35.166,75.7,1022.346,2.4,2023-08-02T00:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.9762908000000006
2023-08-02T05:00:00Z,35.834,75,1022.35,2.1,2023-08-02T01:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.7615092
2023-08-02T06:00:00Z,38.7,74.1,1022.317,2.3,2023-08-02T02:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.6192599999999997
2023-08-02T07:00:00Z,47.133,72.133,1022.295,2.9,2023-08-02T03:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.2067354
2023-08-02T08:00:00Z,40.966,72.4,1022.494,2.1,2023-08-02T04:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.3191308
2023-08-02T09:00:00Z,41.6,71.934,1022.843,2.1,2023-08-02T05:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.26448
2023-08-02T10:00:00Z,42.3,71.933,1023.36,2,2023-08-02T06:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.15174
2023-08-02T11:00:00Z,37.466,75.767,1023.819,2.2,2023-08-02T07:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.6732308
2023-08-02T12:00:00Z,30.467,81.267,1024.044,2,2023-08-02T08:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.1717446
2023-08-02T13:00:00Z,29.233,83.3,1023.831,2.2,2023-08-02T09:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.3829154
2023-08-02T14:00:00Z,30.233,82,1023.612,2.5,2023-08-02T10:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.4539154
2023-08-02T15:00:00Z,30,81.7,1023.708,2.2,2023-08-02T11:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.316800000000001
2023-08-02T16:00:00Z,25.066,86.4,1023.522,2.5,2023-08-02T12:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.8993108
2023-08-02T17:00:00Z,22.7,89.9,1023.317,2.8,2023-08-02T13:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.26046
2023-08-02T18:00:00Z,21.633,91.767,1022.938,3,2023-08-02T14:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.4572354
2023-08-02T19:00:00Z,21.534,91.8,1022.452,3,2023-08-02T15:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,5.4657692
2023-08-02T20:00:00Z,26.3,88.334,1022.164,2.6,2023-08-02T16:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.84534
2023-08-02T21:00:00Z,29.867,84.166,1021.697,2.4,2023-08-02T17:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,4.4330646
2023-08-02T22:00:00Z,34.7,81,1021.777,2,2023-08-02T18:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.80686
2023-08-02T23:00:00Z,37.966,77.834,1021.926,1.9,2023-08-02T19:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.4729308
2023-08-03T00:00:00Z,42.133,75.667,1022.004,2,2023-08-02T20:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.1661354
2023-08-03T01:00:00Z,44.033,75.267,1022.39,2,2023-08-02T21:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,3.0023554
2023-08-03T02:00:00Z,45.1,74.934,1022.428,1.7,2023-08-02T22:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,2.75318
2023-08-03T03:00:00Z,46.033,74.034,1022.591,1.9,2023-08-02T23:00:00Z,2023-08-02,NA,NA,NA,0,0,NA,NA,FALSE,20,35,8,2,2.7775554
2023-08-03T04:00:00Z,47.034,74,1022.644,2.2,2023-08-03T00:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.8484692000000003
2023-08-03T05:00:00Z,47.8,73.733,1022.443,2.1,2023-08-03T01:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.7300400000000002
2023-08-03T06:00:00Z,48.367,73,1021.962,2.3,2023-08-03T02:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.7859646000000002
2023-08-03T07:00:00Z,47.9,72.5,1021.399,2.3,2023-08-03T03:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.8262200000000006
2023-08-03T08:00:00Z,48.5,72,1021.258,2.6,2023-08-03T04:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.9317
2023-08-03T09:00:00Z,50.067,72,1021.419,2.5,2023-08-03T05:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.7442246000000003
2023-08-03T10:00:00Z,51.733,72.233,1021.368,2.5,2023-08-03T06:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.6006154
2023-08-03T11:00:00Z,48.767,74.633,1021.552,2.3,2023-08-03T07:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.7514846
2023-08-03T12:00:00Z,44.533,77.767,1021.282,2.1,2023-08-03T08:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.0116554
2023-08-03T13:00:00Z,43.033,78.934,1020.991,2,2023-08-03T09:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.0885554
2023-08-03T14:00:00Z,40.8,80.667,1020.731,1.7,2023-08-03T10:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.1238400000000004
2023-08-03T15:00:00Z,38.566,81.267,1020.138,2,2023-08-03T11:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.4736108
2023-08-03T16:00:00Z,36.2,83.767,1019.433,2.1,2023-08-03T12:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.7299599999999997
2023-08-03T17:00:00Z,37.5,83.334,1019.004,2.3,2023-08-03T13:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.7227
2023-08-03T18:00:00Z,38.8,82,1018.745,2.2,2023-08-03T14:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.5582400000000005
2023-08-03T19:00:00Z,39.833,80.733,1018.443,2.1,2023-08-03T15:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.4167954000000003
2023-08-03T20:00:00Z,40.567,80.9,1018.036,2,2023-08-03T16:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.3011246
2023-08-03T21:00:00Z,42.2,79.367,1017.693,2,2023-08-03T17:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.16036
2023-08-03T22:00:00Z,44.3,77.633,1017.247,2.2,2023-08-03T18:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,3.0841400000000005
2023-08-03T23:00:00Z,46.534,76.733,1016.903,2.3,2023-08-03T19:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.9439692
2023-08-04T00:00:00Z,47.834,76.533,1017.097,2.2,2023-08-03T20:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.7795091999999997
2023-08-04T01:00:00Z,46.966,77,1017.44,1.9,2023-08-03T21:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.6971307999999996
2023-08-04T02:00:00Z,48,76.233,1017.207,1.8,2023-08-03T22:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.5556
2023-08-04T03:00:00Z,49.333,75.966,1016.853,1.9,2023-08-03T23:00:00Z,2023-08-03,NA,NA,NA,0,0,NA,NA,FALSE,14,34,10,2,2.4930954
2023-08-04T04:00:00Z,50.567,76,1016.682,2,2023-08-04T00:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,2.4391246000000004
2023-08-04T05:00:00Z,53.3,75.933,1016.258,2.8,2023-08-04T01:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,2.6227400000000003
2023-08-04T06:00:00Z,55.933,75.333,1015.966,6.6,2023-08-04T02:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,4.3869754
2023-08-04T07:00:00Z,56.966,75.966,1015.942,11.5,2023-08-04T03:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.8655308
2023-08-04T08:00:00Z,57.767,75.867,1015.813,10.7,2023-08-04T04:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.377284599999999
2023-08-04T09:00:00Z,58.433,76,1015.65,11.6,2023-08-04T05:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.7914754
2023-08-04T10:00:00Z,59,76,1015.585,11.9,2023-08-04T06:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.899800000000001
2023-08-04T11:00:00Z,58.133,75.6,1015.619,13.1,2023-08-04T07:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,7.6033354
2023-08-04T12:00:00Z,58.334,75.967,1015.393,12.4,2023-08-04T08:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,7.2192092
2023-08-04T13:00:00Z,53.733,79.334,1015.305,11.4,2023-08-04T09:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,7.091815400000001
2023-08-04T14:00:00Z,50.367,80.867,1015.061,10.8,2023-08-04T10:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,7.067564600000001
2023-08-04T15:00:00Z,52.067,79.133,1015.037,9.2,2023-08-04T11:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.0826246
2023-08-04T16:00:00Z,51.666,79.733,1014.999,9.6,2023-08-04T12:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.3267908
2023-08-04T17:00:00Z,52.267,80.034,1015.03,12.2,2023-08-04T13:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,7.6373846
2023-08-04T18:00:00Z,49.6,82.2,1014.638,13.1,2023-08-04T14:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,8.33888
2023-08-04T19:00:00Z,52.067,81.233,1014.35,13,2023-08-04T15:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,8.0738246
2023-08-04T20:00:00Z,51.067,81.633,1014.076,9.2,2023-08-04T16:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,6.168824600000001
2023-08-04T21:00:00Z,54.767,80.1,1013.832,7.8,2023-08-04T17:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,5.1162846
2023-08-04T22:00:00Z,59.034,78.867,1013.824,8,2023-08-04T18:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,4.853269200000001
2023-08-04T23:00:00Z,62,77.7,1014.141,4.7,2023-08-04T19:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,2.8684
2023-08-05T00:00:00Z,65.8,76.267,1014.454,4.5,2023-08-04T20:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,2.4360400000000006
2023-08-05T01:00:00Z,66.066,76,1015.115,6.4,2023-08-04T21:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,3.4087107999999997
2023-08-05T02:00:00Z,66.666,76,1014.862,8.5,2023-08-04T22:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,4.457390800000001
2023-08-05T03:00:00Z,66.133,76,1014.988,10.3,2023-08-04T23:00:00Z,2023-08-04,NA,NA,NA,0,0,NA,NA,FALSE,20,32,11,NA,5.446535400000001
2023-08-05T04:00:00Z,65.267,76,1014.614,10.4,2023-08-05T00:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,5.5735846
2023-08-05T05:00:00Z,66.9,75.934,1014.53,10.5,2023-08-05T01:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,5.48522
2023-08-05T06:00:00Z,66.434,75.8,1014.456,9.5,2023-08-05T02:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,5.0013892
2023-08-05T07:00:00Z,65.5,76,1014.553,10.2,2023-08-05T03:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,5.4487000000000005
2023-08-05T08:00:00Z,65.8,75.966,1014.491,11.4,2023-08-05T04:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,6.051640000000001
2023-08-05T09:00:00Z,68.6,75.1,1014.87,14.6,2023-08-05T05:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,7.487080000000001
2023-08-05T10:00:00Z,66.5,76.4,1014.977,15,2023-08-05T06:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,7.877700000000001
2023-08-05T11:00:00Z,62.567,78.3,1014.999,15,2023-08-05T07:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,8.2167246
2023-08-05T12:00:00Z,55.167,81.6,1015.004,15.5,2023-08-05T08:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,9.116604599999999
2023-08-05T13:00:00Z,51.233,82,1015.135,16.7,2023-08-05T09:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,10.0845154
2023-08-05T14:00:00Z,46.933,84.333,1015.471,18.6,2023-08-05T10:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,11.450775400000001
2023-08-05T15:00:00Z,44.933,84.334,1015.583,19,2023-08-05T11:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,11.8327754
2023-08-05T16:00:00Z,37.267,88.233,1015.311,20,2023-08-05T12:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,13.0175846
2023-08-05T17:00:00Z,35.067,88.834,1015.026,17.6,2023-08-05T13:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,11.9496246
2023-08-05T18:00:00Z,30.2,91.834,1015.087,14.7,2023-08-05T14:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,10.84956
2023-08-05T19:00:00Z,30.367,89.767,1014.859,17,2023-08-05T15:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,12.0403646
2023-08-05T20:00:00Z,32.933,87.534,1014.706,19.8,2023-08-05T16:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,13.2863754
2023-08-05T21:00:00Z,36,86.6,1014.947,25.5,2023-08-05T17:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,16.0088
2023-08-05T22:00:00Z,36.466,85.334,1014.952,30.2,2023-08-05T18:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,18.4314308
2023-08-05T23:00:00Z,37.667,84.233,1015.21,25.9,2023-08-05T19:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,16.0747046
2023-08-06T00:00:00Z,38.067,83.066,1015.406,27,2023-08-05T20:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,16.6166246
2023-08-06T01:00:00Z,40.867,82.534,1015.572,27.8,2023-08-05T21:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,16.7944646
2023-08-06T02:00:00Z,44.7,81.633,1015.654,25.9,2023-08-05T22:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,15.46846
2023-08-06T03:00:00Z,46.667,80.967,1015.674,25.4,2023-08-05T23:00:00Z,2023-08-05,NA,NA,NA,0,0,NA,NA,FALSE,50,47,4,3,15.0369046
2023-08-06T04:00:00Z,49.233,80.9,1015.752,25.6,2023-08-06T00:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,14.920515400000001
2023-08-06T05:00:00Z,49.733,79.833,1016.048,23.8,2023-08-06T01:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,13.934215400000003
2023-08-06T06:00:00Z,42.334,80,1016.192,20.8,2023-08-06T02:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,13.000009200000001
2023-08-06T07:00:00Z,41.1,79.166,1016.359,19.9,2023-08-06T03:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,12.63478
2023-08-06T08:00:00Z,43.367,78.3,1016.573,19.7,2023-08-06T04:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,12.3345646
2023-08-06T09:00:00Z,48.133,76.9,1016.932,19.4,2023-08-06T05:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,11.766535399999999
2023-08-06T10:00:00Z,47.834,76.434,1017.282,18.9,2023-08-06T06:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,11.530309199999998
2023-08-06T11:00:00Z,40.133,80.133,1017.476,16.2,2023-08-06T07:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,10.779335399999999
2023-08-06T12:00:00Z,36.1,85.367,1017.374,16.8,2023-08-06T08:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,11.44138
2023-08-06T13:00:00Z,36.633,84.767,1017.412,18.3,2023-08-06T09:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,12.1814354
2023-08-06T14:00:00Z,33.4,87.334,1016.946,16.4,2023-08-06T10:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,11.46452
2023-08-06T15:00:00Z,30.233,89,1017.213,13.1,2023-08-06T11:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,10.0083154
2023-08-06T16:00:00Z,28.733,90.867,1016.764,12,2023-08-06T12:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,9.5612154
2023-08-06T17:00:00Z,28.733,90.6,1016.535,10.9,2023-08-06T13:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,8.9848154
2023-08-06T18:00:00Z,29.534,91.6,1016.13,12.5,2023-08-06T14:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,9.7541692
2023-08-06T19:00:00Z,30.567,90.334,1015.774,13.2,2023-08-06T15:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,10.0319246
2023-08-06T20:00:00Z,32.5,88.433,1015.42,13.2,2023-08-06T16:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,9.865300000000001
2023-08-06T21:00:00Z,34.2,86.833,1015.214,12.7,2023-08-06T17:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,9.45676
2023-08-06T22:00:00Z,38.233,84.9,1015.176,12.4,2023-08-06T18:00:00Z,2023-08-06,MSC Meraviglia,MSC Cruises,Full Turn,5000,1536,No,No,TRUE,59,41,4,3,8.9519154
