time_stamp,humidity,temperature,pressure,pm2.5_alt,pm1.0_atm,pm10.0_atm,local_datetime,Date
2023-08-09T11:00:00Z,54.834,74.5,1007.848,9.5,10.02,16.028,2023-08-09T07:00:00Z,2023-08-09
2023-08-09T13:00:00Z,46.6,78.467,1008.381,10.3,10.925,16.8845,2023-08-09T09:00:00Z,2023-08-09
2023-08-09T12:00:00Z,50.767,76.466,1008.337,10,10.48,16.441,2023-08-09T08:00:00Z,2023-08-09
2023-08-09T00:00:00Z,52.2,76.133,1005.912,5.2,5.3525,8.0615,2023-08-08T20:00:00Z,2023-08-08
2023-08-09T18:00:00Z,29.066,91.233,1007.212,17.2,17.029,29.338,2023-08-09T14:00:00Z,2023-08-09
2023-08-09T03:00:00Z,51.6,77,1006.527,7.3,7.43,11.6905,2023-08-08T23:00:00Z,2023-08-08
2023-08-09T14:00:00Z,41.767,81.433,1008.385,11.2,12.064,18.619,2023-08-09T10:00:00Z,2023-08-09
2023-08-09T16:00:00Z,33.034,87.167,1007.758,20.5,20.2385,35.444,2023-08-09T12:00:00Z,2023-08-09
2023-08-09T05:00:00Z,52.933,75.733,1006.435,8.3,8.6395,13.4415,2023-08-09T01:00:00Z,2023-08-09
2023-08-09T07:00:00Z,55.867,74,1005.994,8.4,8.9285,13.6065,2023-08-09T03:00:00Z,2023-08-09
2023-08-09T15:00:00Z,37.4,84.466,1008.075,14.4,15.2575,24.318,2023-08-09T11:00:00Z,2023-08-09
2023-08-09T08:00:00Z,56.733,73.9,1006.34,9.7,9.994,16.193,2023-08-09T04:00:00Z,2023-08-09
2023-08-09T10:00:00Z,58.567,72.4,1007.275,10.2,10.5855,16.9815,2023-08-09T06:00:00Z,2023-08-09
2023-08-09T02:00:00Z,53.566,76.233,1006.346,7.4,7.724,11.775,2023-08-08T22:00:00Z,2023-08-08
2023-08-09T23:00:00Z,39.934,84.6,1007.789,10.5,10.4845,17.318,2023-08-09T19:00:00Z,2023-08-09
2023-08-09T06:00:00Z,55.967,74.533,1006.081,8.6,9.0535,13.7805,2023-08-09T02:00:00Z,2023-08-09
2023-08-09T04:00:00Z,52.267,76.034,1006.561,8,8.284,12.8205,2023-08-09T00:00:00Z,2023-08-09
2023-08-09T01:00:00Z,52.834,76.733,1006.361,7,7.297,11.1335,2023-08-08T21:00:00Z,2023-08-08
2023-08-09T22:00:00Z,37.833,86.434,1007.175,10.9,10.9565,18.1095,2023-08-09T18:00:00Z,2023-08-09
2023-08-09T19:00:00Z,29.066,91.566,1007.433,12.6,12.8885,20.9545,2023-08-09T15:00:00Z,2023-08-09
2023-08-09T09:00:00Z,58.2,72.733,1006.684,10.9,11.2755,18.2125,2023-08-09T05:00:00Z,2023-08-09
2023-08-09T20:00:00Z,29.8,91.6,1007.575,12.5,12.6535,21.1245,2023-08-09T16:00:00Z,2023-08-09
2023-08-09T17:00:00Z,29.534,90.1,1007.466,23.4,21.597,40.457,2023-08-09T13:00:00Z,2023-08-09
2023-08-09T21:00:00Z,32.367,90.034,1007.352,10.6,10.7405,18.257,2023-08-09T17:00:00Z,2023-08-09
2023-08-08T22:00:00Z,47.267,80.033,1004.438,2.6,2.4375,3.6535,2023-08-08T18:00:00Z,2023-08-08
2023-08-08T07:00:00Z,67.967,76.133,1005.992,2,1.5355,2.994,2023-08-08T03:00:00Z,2023-08-08
2023-08-08T08:00:00Z,67.966,76.567,1005.556,2.3,1.894,3.4835,2023-08-08T04:00:00Z,2023-08-08
2023-08-08T05:00:00Z,68.767,74.867,1007.109,1.4,0.797,1.592,2023-08-08T01:00:00Z,2023-08-08
2023-08-08T18:00:00Z,45.934,82.166,1003.63,1.6,1.062,1.77,2023-08-08T14:00:00Z,2023-08-08
2023-08-08T04:00:00Z,69.566,74.8,1007.363,1.2,0.587,1.3525,2023-08-08T00:00:00Z,2023-08-08
2023-08-08T23:00:00Z,50.066,77.4,1005.43,2.1,1.745,2.743,2023-08-08T19:00:00Z,2023-08-08
2023-08-08T02:00:00Z,71.867,74.566,1007.95,1.2,0.478,1.3365,2023-08-07T22:00:00Z,2023-08-07
2023-08-08T21:00:00Z,48.1,80.434,1004.635,2.6,2.369,3.7075,2023-08-08T17:00:00Z,2023-08-08
2023-08-08T13:00:00Z,65.166,78.233,1005.325,5.1,5.1135,8.219,2023-08-08T09:00:00Z,2023-08-08
2023-08-08T06:00:00Z,68.7,75.367,1006.409,1.9,1.3685,2.497,2023-08-08T02:00:00Z,2023-08-08
2023-08-08T19:00:00Z,45.8,82.667,1003.884,2.3,1.937,2.968,2023-08-08T15:00:00Z,2023-08-08
2023-08-08T14:00:00Z,64.7,78.334,1004.889,4.6,4.5425,7.4445,2023-08-08T10:00:00Z,2023-08-08
2023-08-08T09:00:00Z,66.334,76.9,1005.37,2.8,2.6185,4.404,2023-08-08T05:00:00Z,2023-08-08
2023-08-08T17:00:00Z,46.9,82.333,1003.711,1.4,0.861,1.4875,2023-08-08T13:00:00Z,2023-08-08
2023-08-08T15:00:00Z,52.834,82.334,1004.314,3.2,3.0025,4.619,2023-08-08T11:00:00Z,2023-08-08
2023-08-08T12:00:00Z,64.467,79,1005.692,4.7,4.588,7.665,2023-08-08T08:00:00Z,2023-08-08
2023-08-08T16:00:00Z,51.334,80.067,1004.007,2.4,2.416,3.482,2023-08-08T12:00:00Z,2023-08-08
2023-08-08T20:00:00Z,45.8,82.367,1004.33,2.3,1.929,3.1035,2023-08-08T16:00:00Z,2023-08-08
2023-08-08T00:00:00Z,70.1,78.966,1009.34,7.1,6.675,12.7295,2023-08-07T20:00:00Z,2023-08-07
2023-08-08T03:00:00Z,71.3,74.933,1007.627,1.2,0.5425,1.3495,2023-08-07T23:00:00Z,2023-08-07
2023-08-08T11:00:00Z,67.3,77.3,1005.838,4.4,4.408,7.178,2023-08-08T07:00:00Z,2023-08-08
2023-08-08T10:00:00Z,67.434,76.433,1005.725,3.1,2.9365,4.9715,2023-08-08T06:00:00Z,2023-08-08
2023-08-08T01:00:00Z,69.3,75.566,1009.195,1.1,0.393,1.2955,2023-08-07T21:00:00Z,2023-08-07
2023-07-31T19:00:00Z,28.267,89.466,1014.254,3.5,3.379,5.404,2023-07-31T15:00:00Z,2023-07-31
2023-07-31T12:00:00Z,43.834,76.834,1015.959,4.2,4.398,6.708,2023-07-31T08:00:00Z,2023-07-31
2023-07-31T20:00:00Z,32.633,85.033,1014.294,3.5,3.3715,5.446,2023-07-31T16:00:00Z,2023-07-31
2023-07-31T17:00:00Z,25.2,91.8,1015.185,3.8,3.789,5.98,2023-07-31T13:00:00Z,2023-07-31
2023-07-31T18:00:00Z,25.6,91.7,1014.714,4.4,4.6535,6.938,2023-07-31T14:00:00Z,2023-07-31
2023-07-31T11:00:00Z,48.633,73.467,1015.423,4.3,4.642,6.96,2023-07-31T07:00:00Z,2023-07-31
2023-07-31T03:00:00Z,44.733,76.1,1014.722,4,4.0295,6.132,2023-07-30T23:00:00Z,2023-07-30
2023-07-31T22:00:00Z,35.8,85.4,1014.594,3.6,3.4885,5.6685,2023-07-31T18:00:00Z,2023-07-31
2023-07-31T00:00:00Z,35.567,79.133,1014.242,3,2.9635,4.463,2023-07-30T20:00:00Z,2023-07-30
2023-07-31T08:00:00Z,49.967,72.434,1014.305,4.5,4.663,7.127,2023-07-31T04:00:00Z,2023-07-31
2023-07-31T21:00:00Z,34.067,85.4,1014.57,3.1,2.835,4.701,2023-07-31T17:00:00Z,2023-07-31
2023-07-31T07:00:00Z,47.733,73.4,1014.329,4.5,4.792,7.2705,2023-07-31T03:00:00Z,2023-07-31
2023-07-31T23:00:00Z,37.2,84.5,1015.028,4.3,4.3935,6.947,2023-07-31T19:00:00Z,2023-07-31
2023-07-31T14:00:00Z,27.9,88.3,1015.893,3.7,3.6495,5.628,2023-07-31T10:00:00Z,2023-07-31
2023-07-31T04:00:00Z,45.067,75.166,1014.973,4.1,4.29,6.4565,2023-07-31T00:00:00Z,2023-07-31
2023-07-31T13:00:00Z,35.333,83.6,1016.007,3.9,3.9585,6.108,2023-07-31T09:00:00Z,2023-07-31
2023-07-31T06:00:00Z,45,74.233,1014.383,3.8,3.745,5.8125,2023-07-31T02:00:00Z,2023-07-31
2023-07-31T10:00:00Z,49.9,71.933,1014.496,4.1,4.1595,6.393,2023-07-31T06:00:00Z,2023-07-31
2023-07-31T02:00:00Z,40.466,77.066,1014.761,3.5,3.6475,5.456,2023-07-30T22:00:00Z,2023-07-30
2023-07-31T16:00:00Z,21.566,94.8,1015.535,3.9,3.88,5.856,2023-07-31T12:00:00Z,2023-07-31
2023-07-31T15:00:00Z,23.6,92,1015.806,3.6,3.547,5.322,2023-07-31T11:00:00Z,2023-07-31
2023-07-31T05:00:00Z,44.767,74.133,1014.685,3.7,3.8365,5.7455,2023-07-31T01:00:00Z,2023-07-31
2023-07-31T09:00:00Z,50.166,71.6,1014.284,3.9,3.9845,6.0585,2023-07-31T05:00:00Z,2023-07-31
2023-07-31T01:00:00Z,38.534,78.2,1014.592,3.9,4.0865,6.0825,2023-07-30T21:00:00Z,2023-07-30
2023-08-07T01:00:00Z,58.734,78.833,1015.507,14.4,14.1275,26.9115,2023-08-06T21:00:00Z,2023-08-06
2023-08-07T23:00:00Z,68.7,79.633,1008.707,7.8,7.5575,13.8475,2023-08-07T19:00:00Z,2023-08-07
2023-08-07T18:00:00Z,55.9,83.367,1010.884,11,10.814,19.3535,2023-08-07T14:00:00Z,2023-08-07
2023-08-07T08:00:00Z,65.9,77.434,1014.091,17.4,16.3695,32.69,2023-08-07T04:00:00Z,2023-08-07
2023-08-07T03:00:00Z,63.066,78.966,1015.413,14.7,14.175,28.3735,2023-08-06T23:00:00Z,2023-08-06
2023-08-07T14:00:00Z,67.833,78.8,1013.445,11.8,10.953,22.461,2023-08-07T10:00:00Z,2023-08-07
2023-08-07T20:00:00Z,63.733,82.133,1009.523,10.1,9.953,17.9885,2023-08-07T16:00:00Z,2023-08-07
2023-08-07T16:00:00Z,50.434,87.133,1011.897,9.7,9.5865,17.5265,2023-08-07T12:00:00Z,2023-08-07
2023-08-07T19:00:00Z,60.067,82.8,1010.262,11.4,11.1175,20.6125,2023-08-07T15:00:00Z,2023-08-07
