Date,Ship,Line,Arrival,Departure,Terminal
1/2/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/2/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
1/3/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
1/8/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT
1/11/23,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
1/13/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/16/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
1/19/23,Queen Victoria,Cunard,AM,---,MCT
1/20/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT
1/20/23,Queen Victoria,Cunard,---,5:00 PM,MCT
1/24/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
1/25/23,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
2/1/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
2/4/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/6/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 AM,MCT
2/12/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/17/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
2/18/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
2/19/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/26/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
2/26/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
2/27/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
3/5/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
3/10/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
3/10/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
3/12/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
3/18/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT
3/19/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
3/21/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT
3/26/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
3/26/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
3/28/23,Norwegian Prima,Norwegian Cruise Line,11:00 AM,4:00 PM,MCT
3/31/23,Norwegian Gem,Norwegian Cruise Line,10:00 AM,3:30 PM,MCT
4/2/23,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP
4/2/23,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/5/23,Norwegian Gem,Norwegian Cruise Line,N/A,4:00 PM,MCT
4/5/23,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
4/6/23,MS Rotterdam,Holland America Line,7:00 AM,---,MCT
