Date,Ship,Line,Terminal
1/2/23,Anthem of the Seas,Royal Caribbean,CLCP
1/2/23,Norwegian Gem,Norwegian Cruise Line,MCT
1/3/23,Queen Mary 2,Cunard,BCT
1/8/23,Norwegian Getaway,Norwegian Cruise Line,MCT
1/11/23,Norwegian Gem,Norwegian Cruise Line,MCT
1/13/23,Anthem of the Seas,Royal Caribbean,CLCP
1/16/23,Norwegian Gem,Norwegian Cruise Line,MCT
1/19/23,Queen Victoria,Cunard,MCT
1/20/23,Norwegian Getaway,Norwegian Cruise Line,MCT
1/20/23,Queen Victoria,Cunard,MCT
1/24/23,Anthem of the Seas,Royal Caribbean,CLCP
1/25/23,Norwegian Gem,Norwegian Cruise Line,MCT
2/1/23,Norwegian Getaway,Norwegian Cruise Line,MCT
2/4/23,Anthem of the Seas,Royal Caribbean,CLCP
2/6/23,Norwegian Getaway,Norwegian Cruise Line,MCT
2/12/23,Anthem of the Seas,Royal Caribbean,CLCP
2/17/23,Norwegian Gem,Norwegian Cruise Line,MCT
2/18/23,Norwegian Getaway,Norwegian Cruise Line,MCT
2/19/23,Anthem of the Seas,Royal Caribbean,CLCP
2/26/23,Anthem of the Seas,Royal Caribbean,CLCP
2/26/23,Norwegian Getaway,Norwegian Cruise Line,MCT
2/27/23,Norwegian Gem,Norwegian Cruise Line,MCT
3/5/23,Anthem of the Seas,Royal Caribbean,CLCP
3/10/23,Norwegian Gem,Norwegian Cruise Line,MCT
3/10/23,Norwegian Getaway,Norwegian Cruise Line,MCT
3/12/23,Anthem of the Seas,Royal Caribbean,CLCP
3/18/23,Norwegian Getaway,Norwegian Cruise Line,MCT
3/19/23,Anthem of the Seas,Royal Caribbean,CLCP
3/21/23,Norwegian Gem,Norwegian Cruise Line,MCT
3/26/23,Anthem of the Seas,Royal Caribbean,CLCP
3/26/23,Norwegian Getaway,Norwegian Cruise Line,MCT
3/28/23,Norwegian Prima,Norwegian Cruise Line,MCT
3/31/23,Norwegian Gem,Norwegian Cruise Line,MCT
4/2/23,Anthem of the Seas,Royal Caribbean,CLCP
4/2/23,Norwegian Prima,Norwegian Cruise Line,MCT
4/5/23,Norwegian Gem,Norwegian Cruise Line,MCT
4/5/23,Norwegian Getaway,Norwegian Cruise Line,MCT
4/6/23,MS Rotterdam,Holland America Line,MCT
4/7/23,MS Rotterdam,Holland America Line,MCT
4/8/23,Amera,Phoenix Reisen Cruises,MCT
4/9/23,Amera,Phoenix Reisen Cruises,MCT
4/9/23,Anthem of the Seas,Royal Caribbean,CLCP
4/9/23,Norwegian Prima,Norwegian Cruise Line,MCT
4/15/23,Norwegian Gem,Norwegian Cruise Line,MCT
4/15/23,Norwegian Getaway,Norwegian Cruise Line,MCT
4/16/23,Anthem of the Seas,Royal Caribbean,CLCP
4/16/23,Norwegian Prima,Norwegian Cruise Line,MCT
4/18/23,Norwegian Sun,Norwegian Cruise Line,MCT
4/19/23,Viking Octantis,Viking Expedition Cruises,MCT
4/20/23,Costa Deliziosa,Costa Cruises,MCT
4/20/23,MSC Meraviglia,MSC Cruises,BCT
4/20/23,Norwegian Breakaway,Norwegian Cruise Line,MCT
4/20/23,Norwegian Dawn,Norwegian Cruise Line,MCT
4/21/23,Costa Deliziosa,Costa Cruises,MCT
4/21/23,MSC Meraviglia,MSC Cruises,BCT
4/22/23,MSC Meraviglia,MSC Cruises,BCT
4/22/23,Norwegian Epic,Norwegian Cruise Line,MCT
4/22/23,Ocean Explorer,Vantage Travel,MCT
4/23/23,Anthem of the Seas,Royal Caribbean,CLCP
4/23/23,Norwegian Prima,Norwegian Cruise Line,MCT
4/23/23,Ocean Explorer,Vantage Travel,MCT
4/29/23,MSC Meraviglia,MSC Cruises,BCT
4/30/23,Enchantment of the Seas,Royal Caribbean,CLCP
4/30/23,Norwegian Prima,Norwegian Cruise Line,MCT
4/30/23,Queen Mary 2,Cunard,BCT
5/1/23,Anthem of the Seas,Royal Caribbean,CLCP
5/4/23,Liberty of the Seas,Royal Caribbean,CLCP
5/6/23,Celebrity Summit,Celebrity Cruises,CLCP
5/7/23,MSC Meraviglia,MSC Cruises,BCT
5/7/23,Norwegian Prima,Norwegian Cruise Line,MCT
5/7/23,Oasis of the Seas,Royal Caribbean,CLCP
5/13/23,Liberty of the Seas,Royal Caribbean,CLCP
5/14/23,MSC Meraviglia,MSC Cruises,BCT
5/14/23,Norwegian Joy,Norwegian Cruise Line,MCT
5/14/23,Norwegian Prima,Norwegian Cruise Line,MCT
5/14/23,Oasis of the Seas,Royal Caribbean,CLCP
5/15/23,Celebrity Summit,Celebrity Cruises,CLCP
5/15/23,Viking Polaris,Viking Expedition Cruises,MCT
5/17/23,Marella Discovery,Marella Cruises,MCT
5/18/23,Liberty of the Seas,Royal Caribbean,CLCP
5/18/23,Marella Discovery,Marella Cruises,MCT
5/21/23,MSC Meraviglia,MSC Cruises,BCT
5/21/23,Norwegian Joy,Norwegian Cruise Line,MCT
5/21/23,Oasis of the Seas,Royal Caribbean,CLCP
5/23/23,Liberty of the Seas,Royal Caribbean,CLCP
5/25/23,Celebrity Summit,Celebrity Cruises,CLCP
5/26/23,Queen Mary 2,Cunard,BCT
5/27/23,Liberty of the Seas,Royal Caribbean,CLCP
5/28/23,MSC Meraviglia,MSC Cruises,BCT
5/28/23,Norwegian Joy,Norwegian Cruise Line,MCT
5/28/23,Oasis of the Seas,Royal Caribbean,CLCP
5/31/23,Marella Discovery,Marella Cruises,MCT
5/31/23,Seven Seas Navigator,Regent Seven Seas,MCT
